file,version,iter,time_namelookup,time_connect,time_appconnect,time_pretransfer,time_redirect,time_starttransfer,time_total
empty_file,tcp,1,0.000022,0.033736,0.088185,0.088258,0.000000,0.140433,0.140487
empty_file,tcp,2,0.000043,0.042746,0.097383,0.097472,0.000000,0.149295,0.149333
empty_file,tcp,3,0.000027,0.041890,0.096312,0.096381,0.000000,0.148599,0.148656
empty_file,tcp,4,0.000049,0.034857,0.090711,0.090789,0.000000,0.141361,0.141444
empty_file,tcp,5,0.000058,0.034368,0.078812,0.078886,0.000000,0.130261,0.130325
empty_file,tcp,6,0.000050,0.035490,0.079602,0.079747,0.000000,0.131577,0.131640
empty_file,tcp,7,0.000049,0.035563,0.081368,0.081433,0.000000,0.131188,0.131247
empty_file,tcp,8,0.000053,0.035715,0.079790,0.079856,0.000000,0.132529,0.132586
empty_file,tcp,9,0.000045,0.041414,0.085695,0.085769,0.000000,0.126809,0.126867
empty_file,tcp,10,0.000047,0.038725,0.091309,0.091376,0.000000,0.132582,0.132659
file_1MB,tcp,1,0.000048,0.036346,0.080381,0.080451,0.000000,0.153958,0.751064
file_1MB,tcp,2,0.000044,0.039085,0.082689,0.082761,0.000000,0.167000,0.753574
file_1MB,tcp,3,0.000044,0.039013,0.083134,0.083276,0.000000,0.167244,0.860636
file_1MB,tcp,4,0.000048,0.034250,0.078167,0.078238,0.000000,0.162267,0.802462
file_1MB,tcp,5,0.000043,0.037475,0.081180,0.081269,0.000000,0.166073,0.795686
file_1MB,tcp,6,0.000044,0.035559,0.078977,0.079040,0.000000,0.152794,0.772864
file_1MB,tcp,7,0.000054,0.037603,0.092087,0.092148,0.000000,0.166047,0.756142
file_1MB,tcp,8,0.000051,0.034979,0.078290,0.078352,0.000000,0.155703,0.772359
file_1MB,tcp,9,0.000044,0.036470,0.080035,0.080056,0.000000,0.155685,0.775362
file_1MB,tcp,10,0.000046,0.036388,0.080374,0.080449,0.000000,0.164208,0.772882
file_100MB,tcp,1,0.000044,0.038243,0.092555,0.092623,0.000000,0.166293,53.341491
file_100MB,tcp,2,0.000044,0.053658,0.120166,0.120234,0.000000,0.230900,34.503967
file_100MB,tcp,3,0.000044,0.066126,0.155304,0.155368,0.000000,0.290265,34.944603
file_100MB,tcp,4,0.000058,0.053985,0.118974,0.119046,0.000000,0.246207,27.206278
file_100MB,tcp,5,0.000048,0.080932,0.147382,0.147454,0.000000,0.286649,36.787628
file_100MB,tcp,6,0.000048,0.066057,0.155134,0.155200,0.000000,0.306208,43.340710
file_100MB,tcp,7,0.000044,0.051518,0.139832,0.139902,0.000000,0.254472,51.660927
file_100MB,tcp,8,0.000044,0.055985,0.132106,0.132182,0.000000,0.252008,48.814628
file_100MB,tcp,9,0.000050,0.090420,0.322462,0.322522,0.000000,0.525956,43.437070
file_100MB,tcp,10,0.000059,0.337034,0.544733,0.544803,0.000000,0.747279,51.836706
file_250MB,tcp,1,0.000059,0.064016,0.174458,0.174611,0.000000,0.378291,104.624678
file_250MB,tcp,2,0.000043,0.051694,0.109858,0.109933,0.000000,0.210371,88.820167
file_250MB,tcp,3,0.000043,0.052314,0.127957,0.128024,0.000000,0.266105,102.923595
file_250MB,tcp,4,0.000059,0.044883,0.082813,0.082880,0.000000,0.156822,88.990241
file_250MB,tcp,5,0.000060,0.063281,0.152756,0.152819,0.000000,0.303766,105.189155
file_250MB,tcp,6,0.000048,0.073589,0.177290,0.177354,0.000000,0.381373,87.828213
file_250MB,tcp,7,0.000053,0.065071,0.141052,0.141127,0.000000,0.279813,75.937166
file_250MB,tcp,8,0.000059,0.049042,0.107360,0.107518,0.000000,0.201228,116.997963
file_250MB,tcp,9,0.000066,0.065207,0.282447,0.282519,0.000000,0.486144,64.993809
file_250MB,tcp,10,0.000048,0.087803,0.191245,0.191305,0.000000,0.395214,97.436287
file_500MB,tcp,1,0.000044,0.054200,0.128803,0.128879,0.000000,0.234386,219.585317
file_500MB,tcp,2,0.000050,0.053877,0.119914,0.119984,0.000000,0.231514,188.972036
file_500MB,tcp,3,0.000048,0.046934,0.112032,0.112106,0.000000,0.207371,159.975513
file_500MB,tcp,4,0.000055,0.054547,0.112461,0.112527,0.000000,0.206572,209.881906
file_500MB,tcp,5,0.000049,0.049241,0.093260,0.093340,0.000000,0.177595,170.847514
file_500MB,tcp,6,0.000030,0.042558,0.091505,0.091569,0.000000,0.178648,145.226744
file_500MB,tcp,7,0.000049,0.042825,0.100156,0.100231,0.000000,0.187040,199.799904
file_500MB,tcp,8,0.000049,0.212702,0.317828,0.317904,0.000000,0.622876,202.801614
file_500MB,tcp,9,0.000049,0.049571,0.106261,0.106326,0.000000,0.220940,187.001462
file_500MB,tcp,10,0.000050,0.099322,0.202578,0.202639,0.000000,0.406758,200.736684
empty_file,quic,1,0.000062,0.166738,0.000000,0.167101,0.000000,0.268936,0.269210
empty_file,quic,2,0.000017,0.098074,0.000000,0.098131,0.000000,0.200466,0.200539
empty_file,quic,3,0.000048,0.371362,0.000000,0.371533,0.000000,0.473330,0.473413
empty_file,quic,4,0.000072,0.165165,0.000000,0.165342,0.000000,0.267725,0.267913
empty_file,quic,5,0.000075,0.164628,0.000000,0.164780,0.000000,0.267375,0.267466
empty_file,quic,6,0.000047,0.164745,0.000000,0.164820,0.000000,0.267338,0.267417
empty_file,quic,7,0.000049,0.165212,0.000000,0.165360,0.000000,0.268054,0.268137
empty_file,quic,8,0.000060,0.369343,0.000000,0.369498,0.000000,0.471832,0.472092
empty_file,quic,9,0.000044,0.167921,0.000000,0.168163,0.000000,0.270415,0.270496
empty_file,quic,10,0.000045,0.165686,0.000000,0.165840,0.000000,0.268481,0.268757
file_1MB,quic,1,0.000053,0.139144,0.000000,0.139452,0.000000,0.446520,9.347447
file_1MB,quic,2,0.000058,0.172418,0.000000,0.172574,0.000000,0.275237,1.299288
